,Artist,Average Spotify Streams,Track Counts,Average Spotify Playlist Count,Average Spotify Playlist Reach,Average Spotify Popularity,Average YouTube Views,Average YouTube Likes,Average TikTok Posts,Average TikTok Likes,Average TikTok Views,Average YouTube Playlist Reach,Average Apple Music Playlist Count,Average AirPlay Spins,Average SiriusXM Spins,Average Deezer Playlist Count,Average Deezer Playlist Reach,Average Amazon Playlist Count,Average Pandora Streams,Average Pandora Track Stations,Average Soundcloud Streams,Average Shazam Counts
1063,Lil Pump,648757330.0,1,66961.0,13429975.0,55.0,1402505864.0,15657910.0,1404568.0,27119678.0,243585831.0,200186337.0,62.0,13516.0,6.0,20.0,52013.0,5.0,79188658.0,496624.0,0.0,2724063.0
1064,Lil Tecca,316742960.3333333,9,63374.77777777778,18900787.888888888,66.83333333333333,108567298.22222222,1232949.4444444445,81369.55555555556,13839099.888888888,97473572.33333333,47831464.222222224,21.22222222222222,3908.777777777778,292.22222222222223,6.555555555555555,197429.11111111112,6.888888888888889,13424560.777777778,31601.88888888889,29953068.555555556,552729.5555555555
1065,Lil Tjay,428552595.85714287,7,128532.57142857143,15247931.42857143,66.42857142857143,198049392.42857143,2222809.1428571427,423140.71428571426,43061218.0,335210953.4285714,138528598.2857143,36.42857142857143,29506.0,321.2857142857143,12.428571428571429,121229.71428571429,9.285714285714286,28975434.85714286,28091.571428571428,43110507.14285714,1606365.5714285714
1066,Lil Uzi Vert,768864366.2727273,11,103427.45454545454,26278760.454545453,62.0,122820683.72727273,1139341.6363636365,198029.27272727274,63166291.63636363,559437850.4545455,50564629.45454545,39.36363636363637,25095.636363636364,542.0,8.363636363636363,222812.27272727274,13.272727272727273,43635848.09090909,32796.09090909091,33169484.272727273,1179816.9090909092
1067,Lil Wayne,410480762.2,5,62754.0,12045827.2,55.2,392004272.6,2659033.0,122379.0,29163046.2,260317204.6,70444846.4,20.8,5845.0,2.2,6.6,104592.8,7.0,504712071.0,871687.6,0.0,2231404.2
1068,Lil Yachty,145663063.5,4,43650.75,7723375.5,60.333333333333336,22584234.75,306151.75,24101.25,10102583.25,101623632.5,55312995.0,15.5,557.5,640.5,5.0,39721.0,6.25,5581025.75,7075.5,18230720.75,366633.0
1069,Lilly Wood and The Prick,1074583619.0,1,152685.0,43023486.0,69.0,631896.0,5935.0,29628.0,15236347.0,138609613.0,0.0,118.0,70662.0,0.0,107.0,952714.0,9.0,242929188.0,27275.0,0.0,30826278.0
1070,Linkin Park,766295293.6923077,13,46189.07692307692,14476801.76923077,56.666666666666664,371976864.53846157,2590177.6923076925,74058.38461538461,7806221.076923077,93870408.07692307,312983779.38461536,2.923076923076923,29386.615384615383,77.92307692307692,15.692307692307692,1022985.6923076923,9.692307692307692,64285915.23076923,23495.846153846152,3431155.3076923075,750130.7692307692
1071,Lithe,78227549.0,1,10811.0,34967691.0,81.0,18048583.0,346316.0,1827.0,366700.0,5400000.0,10740206.0,59.0,604.0,0.0,7.0,10139201.0,36.0,350778.0,1442.0,2612424.0,1712744.0
1072,Little Big,46872738.0,1,21343.0,1515150.0,49.0,876122384.0,6497142.0,552680.0,35154078.0,460636179.0,10539876.0,14.0,14.0,0.0,2.0,6971.0,0.0,584101.0,8545.0,0.0,1055258.0
